name_x,status_x,date,assists_game_x,assists_avg_x,att_field_goals_avg_x,att_free_throws_avg_x,att_three_points_avg_x,blocks_game_x,blocks_avg_x,defensive_rebounds_avg_x,made_field_goals_avg_x,made_free_throws_avg_x,made_three_point_avg_x,offensive_rebounds_avg_x,personal_fouls_avg_x,points_game_x,points_avg_x,steals_avg_x,turnovers_avg_x,outcomes_game_x,outcomes_avg_x,opp_name_x,opp_assists_game_x,opp_assists_avg_x,opp_att_field_goals_avg_x,opp_att_free_throws_avg_x,opp_att_three_points_avg_x,opp_blocks_game_x,opp_blocks_avg_x,opp_defensive_rebounds_avg_x,opp_made_field_goals_avg_x,opp_made_free_throws_avg_x,opp_made_three_point_avg_x,opp_offensive_rebounds_avg_x,opp_personal_fouls_avg_x,opp_points_game_x,opp_points_avg_x,opp_steals_avg_x,opp_turnovers_avg_x,total_rebounds_game_x,total_rebounds_avg_x,opp_total_rebounds_game_x,opp_total_rebounds_avg_x,assists_10MA_x,att_field_goals_10MA_x,att_free_throws_10MA_x,att_three_points_10MA_x,blocks_10MA_x,defensive_rebounds_10MA_x,made_field_goals_10MA_x,made_free_throws_10MA_x,made_three_point_10MA_x,offensive_rebounds_10MA_x,personal_fouls_10MA_x,points_10MA_x,steals_10MA_x,turnovers_10MA_x,outcomes_10MA_x,opp_assists_10MA_x,opp_att_field_goals_10MA_x,opp_att_free_throws_10MA_x,opp_att_three_points_10MA_x,opp_blocks_10MA_x,opp_defensive_rebounds_10MA_x,opp_made_field_goals_10MA_x,opp_made_free_throws_10MA_x,opp_made_three_point_10MA_x,opp_offensive_rebounds_10MA_x,opp_personal_fouls_10MA_x,opp_points_10MA_x,opp_steals_10MA_x,opp_turnovers_10MA_x,total_rebounds_10MA_x,opp_total_rebounds_10MA_x,name_y,status_y,assists_game_y,assists_avg_y,att_field_goals_avg_y,att_free_throws_avg_y,att_three_points_avg_y,blocks_game_y,blocks_avg_y,defensive_rebounds_avg_y,made_field_goals_avg_y,made_free_throws_avg_y,made_three_point_avg_y,offensive_rebounds_avg_y,personal_fouls_avg_y,points_game_y,points_avg_y,steals_avg_y,turnovers_avg_y,outcomes_game_y,outcomes_avg_y,opp_name_y,opp_assists_game_y,opp_assists_avg_y,opp_att_field_goals_avg_y,opp_att_free_throws_avg_y,opp_att_three_points_avg_y,opp_blocks_game_y,opp_blocks_avg_y,opp_defensive_rebounds_avg_y,opp_made_field_goals_avg_y,opp_made_free_throws_avg_y,opp_made_three_point_avg_y,opp_offensive_rebounds_avg_y,opp_personal_fouls_avg_y,opp_points_game_y,opp_points_avg_y,opp_steals_avg_y,opp_turnovers_avg_y,total_rebounds_game_y,total_rebounds_avg_y,opp_total_rebounds_game_y,opp_total_rebounds_avg_y,assists_10MA_y,att_field_goals_10MA_y,att_free_throws_10MA_y,att_three_points_10MA_y,blocks_10MA_y,defensive_rebounds_10MA_y,made_field_goals_10MA_y,made_free_throws_10MA_y,made_three_point_10MA_y,offensive_rebounds_10MA_y,personal_fouls_10MA_y,points_10MA_y,steals_10MA_y,turnovers_10MA_y,outcomes_10MA_y,opp_assists_10MA_y,opp_att_field_goals_10MA_y,opp_att_free_throws_10MA_y,opp_att_three_points_10MA_y,opp_blocks_10MA_y,opp_defensive_rebounds_10MA_y,opp_made_field_goals_10MA_y,opp_made_free_throws_10MA_y,opp_made_three_point_10MA_y,opp_offensive_rebounds_10MA_y,opp_personal_fouls_10MA_y,opp_points_10MA_y,opp_steals_10MA_y,opp_turnovers_10MA_y,total_rebounds_10MA_y,opp_total_rebounds_10MA_y
SACRAMENTO_KINGS,home,10_27,22.0,24.0,86.0,26.0,21.0,0.0,5.0,31.0,44.0,19.0,6.0,10.0,20.0,94.0,113.0,5.0,13.0,0.0,1.0,SAN_ANTONIO_SPURS,23.0,20.0,77.0,27.0,16.0,8.0,3.0,31.0,36.0,18.0,4.0,10.0,29.0,102.0,94.0,6.0,18.0,40.0,41.0,40.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN_ANTONIO_SPURS,away,23.0,25.0,98.0,26.0,24.0,8.0,3.0,34.0,47.0,23.0,12.0,21.0,19.0,102.0,129.0,13.0,13.0,1.0,1.0,SACRAMENTO_KINGS,22.0,24.0,85.0,18.0,33.0,0.0,6.0,27.0,40.0,13.0,7.0,8.0,19.0,94.0,100.0,11.0,16.0,40.0,55.0,40.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,home,10_29,24.0,23.0,78.0,32.0,20.5,5.0,2.5,32.5,36.0,25.5,6.0,8.0,20.5,106.0,103.5,6.0,14.0,1.0,0.5,MINNESOTA_TIMBERWOLVES,19.0,21.5,78.0,27.0,17.0,5.0,5.5,31.0,36.0,21.0,5.0,9.5,27.5,103.0,98.0,8.0,13.5,31.0,40.5,36.0,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINNESOTA_TIMBERWOLVES,away,19.0,20.0,86.0,29.0,18.0,5.0,5.0,30.0,36.0,20.0,6.0,15.0,23.0,103.0,98.0,6.0,10.0,0.0,0.0,SACRAMENTO_KINGS,24.0,19.0,80.0,27.0,24.0,5.0,11.0,34.0,36.0,19.0,11.0,11.0,25.0,106.0,102.0,6.0,13.0,36.0,45.0,31.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,10_31,26.0,23.33333333333333,80.33333333333333,29.66666666666667,22.33333333333333,6.0,3.333333333333333,28.33333333333333,37.0,23.33333333333333,7.0,9.0,21.66666666666667,95.0,104.33333333333331,6.0,13.666666666666664,0.0,0.6666666666666666,ATLANTA_HAWKS,24.0,20.666666666666668,75.33333333333333,28.33333333333333,18.666666666666668,6.0,5.333333333333333,30.33333333333333,36.333333333333336,21.33333333333333,5.666666666666668,8.666666666666666,26.66666666666667,106.0,99.66666666666669,7.333333333333332,12.666666666666664,38.0,37.333333333333336,43.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATLANTA_HAWKS,home,24.0,29.5,86.5,20.5,23.0,6.0,7.0,39.5,43.0,14.5,8.5,10.0,16.5,106.0,109.0,12.0,16.5,1.0,1.0,SACRAMENTO_KINGS,26.0,20.5,87.0,16.5,19.0,6.0,4.5,31.5,34.0,12.0,5.5,8.0,20.0,95.0,85.5,11.5,19.5,43.0,49.5,38.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,11_1,12.0,24.0,79.0,27.0,22.5,4.0,4.0,29.25,36.75,20.75,7.75,8.25,24.75,96.0,102.0,7.0,15.0,0.0,0.5,MIAMI_HEAT,24.0,21.5,76.25,33.0,21.5,9.0,5.5,29.25,35.5,23.25,7.0,10.75,25.0,108.0,101.25,8.25,12.75,53.0,37.5,45.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIAMI_HEAT,home,24.0,21.66666666666667,87.66666666666669,20.666666666666668,23.33333333333333,9.0,5.666666666666668,35.666666666666664,38.66666666666666,13.666666666666664,8.333333333333334,11.0,23.0,108.0,99.33333333333331,4.666666666666667,13.666666666666664,1.0,0.3333333333333333,SACRAMENTO_KINGS,12.0,20.0,87.66666666666669,26.0,19.33333333333333,4.0,6.0,32.0,35.333333333333336,21.33333333333333,7.666666666666668,14.0,20.33333333333333,96.0,99.66666666666669,6.333333333333332,11.333333333333336,45.0,46.66666666666666,53.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,11_3,17.0,21.6,81.0,27.0,22.6,1.0,4.0,32.2,36.2,21.2,7.2,8.4,24.4,94.0,100.8,6.4,15.0,0.0,0.4,ORLANDO_MAGIC,24.0,22.0,78.2,32.2,23.0,4.0,6.2,31.2,35.8,22.8,8.2,9.8,24.2,102.0,102.6,8.6,13.2,39.0,40.6,44.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORLANDO_MAGIC,home,24.0,22.5,90.25,20.75,24.25,4.0,4.5,31.0,36.75,14.5,7.0,13.5,16.5,102.0,95.0,6.5,12.5,1.0,0.25,SACRAMENTO_KINGS,17.0,24.75,90.25,17.0,23.0,1.0,6.25,35.5,42.75,12.25,7.75,11.25,20.0,94.0,105.5,6.5,11.5,44.0,44.5,39.0,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,11_5,27.0,20.83333333333333,80.83333333333333,25.33333333333333,21.83333333333333,3.0,3.5,31.5,36.5,19.5,7.166666666666668,8.833333333333334,24.16666666666667,91.0,99.66666666666669,6.666666666666668,14.833333333333336,0.0,0.3333333333333333,MILWAUKEE_BUCKS,28.0,22.33333333333333,79.16666666666667,30.66666666666667,24.16666666666667,10.0,5.833333333333332,31.16666666666667,36.16666666666666,21.66666666666667,8.5,10.333333333333334,22.5,117.0,102.5,8.0,13.333333333333336,36.0,40.333333333333336,53.0,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILWAUKEE_BUCKS,home,28.0,26.4,88.0,20.6,22.8,10.0,5.0,33.8,41.0,16.8,7.4,10.2,21.8,117.0,106.2,9.4,14.0,1.0,0.6,SACRAMENTO_KINGS,27.0,25.0,84.8,28.0,25.2,3.0,5.8,34.2,38.0,22.2,8.4,11.4,19.6,91.0,106.6,10.4,15.4,53.0,44.0,36.0,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,11_6,21.0,21.714285714285715,81.28571428571429,24.42857142857143,22.714285714285715,5.0,3.4285714285714284,30.285714285714285,36.0,18.857142857142858,7.571428571428571,9.428571428571429,23.42857142857143,96.0,98.42857142857143,6.857142857142858,14.714285714285715,1.0,0.2857142857142857,TORONTO_RAPTORS,22.0,23.142857142857146,79.57142857142857,29.857142857142854,25.42857142857143,5.0,6.428571428571429,31.857142857142854,36.857142857142854,21.571428571428577,9.285714285714286,11.285714285714285,22.428571428571423,91.0,104.57142857142857,8.571428571428571,13.571428571428573,47.0,39.714285714285715,43.0,43.14285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TORONTO_RAPTORS,home,22.0,16.0,85.0,23.0,20.0,5.0,3.8,33.2,39.4,18.6,5.4,12.0,22.0,91.0,102.8,9.4,12.8,0.0,0.8,SACRAMENTO_KINGS,21.0,18.2,80.8,23.6,22.8,5.0,4.4,31.8,35.4,17.2,7.4,9.2,19.8,96.0,95.4,7.2,14.2,43.0,45.2,47.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,home,11_8,24.0,21.625,80.875,25.25,21.875,5.0,3.625,30.75,35.75,19.375,7.25,9.875,23.25,102.0,98.125,6.5,14.0,1.0,0.375,NEW_ORLEANS_PELICANS,23.0,23.0,80.125,30.0,26.0,9.0,6.25,31.625,36.0,21.875,9.0,11.5,22.875,94.0,102.875,8.25,12.625,39.0,40.625,40.0,43.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW_ORLEANS_PELICANS,away,23.0,24.0,87.85714285714286,25.142857142857146,24.857142857142854,9.0,6.142857142857142,34.714285714285715,37.857142857142854,18.428571428571427,7.0,7.857142857142858,21.714285714285715,94.0,101.14285714285714,9.428571428571429,13.428571428571427,0.0,0.0,SACRAMENTO_KINGS,24.0,24.857142857142854,89.2857142857143,23.57142857142857,27.714285714285715,5.0,4.142857142857143,40.42857142857143,39.714285714285715,19.428571428571427,9.857142857142858,10.285714285714286,21.428571428571427,102.0,108.71428571428572,9.0,15.571428571428573,40.0,42.57142857142857,39.0,50.714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,home,11_10,18.0,21.88888888888889,80.8888888888889,24.66666666666667,22.222222222222218,3.0,3.7777777777777777,31.11111111111111,36.111111111111114,19.0,7.333333333333332,9.333333333333334,23.0,91.0,98.55555555555556,6.5555555555555545,13.555555555555555,0.0,0.4444444444444444,LOS_ANGELES_LAKERS,18.0,23.0,80.55555555555556,28.66666666666667,25.444444444444446,2.0,6.5555555555555545,31.777777777777782,36.22222222222222,20.88888888888889,8.555555555555555,11.0,22.88888888888889,101.0,101.88888888888887,7.888888888888888,12.333333333333336,43.0,40.444444444444436,42.0,42.77777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOS_ANGELES_LAKERS,away,18.0,20.375,87.75,22.75,27.375,2.0,4.375,32.0,40.5,18.75,8.875,11.75,22.625,101.0,108.625,9.125,16.875,1.0,0.5,SACRAMENTO_KINGS,18.0,23.875,85.875,25.625,26.875,3.0,4.0,30.75,40.5,19.5,8.0,10.25,19.625,91.0,108.5,10.125,16.0,42.0,43.75,43.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,11_11,18.0,21.5,81.3,24.2,22.1,3.0,3.7,31.2,35.9,18.6,7.4,9.5,22.6,120.0,97.8,7.2,13.7,0.0,0.4,PORTLAND_TRAIL_BLAZERS,29.0,22.5,79.9,28.0,25.6,4.0,6.1,32.4,36.4,20.4,8.6,10.3,22.5,122.0,101.8,7.9,13.2,48.0,40.7,36.0,42.7,21.5,81.3,24.2,22.1,3.7,31.2,35.9,18.6,7.4,9.5,22.6,97.8,7.2,13.7,0.4,22.5,79.9,28.0,25.6,6.1,32.4,36.4,20.4,8.6,10.3,22.5,101.8,7.9,13.2,40.7,42.7,PORTLAND_TRAIL_BLAZERS,home,29.0,21.0,85.0,23.555555555555557,29.555555555555557,4.0,4.666666666666667,34.22222222222222,38.444444444444436,19.0,11.0,7.222222222222222,24.11111111111111,122.0,106.88888888888887,7.111111111111112,15.111111111111109,1.0,0.5555555555555556,SACRAMENTO_KINGS,18.0,19.555555555555557,89.1111111111111,30.222222222222218,25.0,3.0,4.4444444444444455,35.77777777777778,39.444444444444436,24.0,7.888888888888888,11.777777777777779,20.777777777777782,120.0,110.77777777777777,9.555555555555557,12.333333333333336,36.0,41.444444444444436,48.0,47.555555555555564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
